Date,Description,Amount,Balance
2026-04-01,Rent Payment,-2200.00,300.00
2026-04-02,City Electricity Bill,-312.40,-12.40
2026-04-05,Staff Wages Payroll,-3200.00,-3212.40
2026-04-07,Dough & Flour Supplier,-610.20,-3822.60
2026-04-10,Tomato Sauce Supplier,-240.50,-4063.10
2026-04-12,Meat & Cheese Supplier,-505.60,-4568.70
2026-04-15,Card Sales Deposit,4180.00,-388.70
2026-04-20,Delivery Platform Fees,-180.40,-569.10
2026-04-28,Cash Sales Deposit,3420.00,2850.90
2026-05-01,Rent Payment,-2200.00,650.90
2026-05-02,City Electricity Bill,-348.75,302.15
2026-05-05,Staff Wages Payroll,-3350.00,-3047.85
2026-05-07,Dough & Flour Supplier,-705.45,-3753.30
2026-05-10,Tomato Sauce Supplier,-288.90,-4042.20
2026-05-12,Meat & Cheese Supplier,-610.25,-4652.45
2026-05-15,Card Sales Deposit,5115.00,462.55
2026-05-20,Delivery Platform Fees,-221.15,241.40
2026-05-28,Cash Sales Deposit,4185.00,4426.40
2026-05-20,Pizza Oven Repair,-1750.00,2676.40
2026-06-01,Rent Payment,-2200.00,476.40
2026-06-02,City Electricity Bill,-402.10,74.30
2026-06-05,Staff Wages Payroll,-3600.00,-3525.70
2026-06-07,Dough & Flour Supplier,-822.10,-4347.80
2026-06-10,Tomato Sauce Supplier,-341.20,-4689.00
2026-06-12,Meat & Cheese Supplier,-722.80,-5411.80
2026-06-15,Card Sales Deposit,6160.00,748.20
2026-06-20,Delivery Platform Fees,-266.50,481.70
2026-06-28,Cash Sales Deposit,5040.00,5521.70
2026-07-01,Rent Payment,-2200.00,3321.70
2026-07-02,City Electricity Bill,-455.60,2866.10
2026-07-05,Staff Wages Payroll,-3600.00,-733.90
2026-07-07,Dough & Flour Supplier,-780.35,-1514.25
2026-07-10,Tomato Sauce Supplier,-318.75,-1833.00
2026-07-12,Meat & Cheese Supplier,-688.15,-2521.15
2026-07-15,Card Sales Deposit,5720.00,3198.85
2026-07-20,Delivery Platform Fees,-247.30,2951.55
2026-07-28,Cash Sales Deposit,4680.00,7631.55
2026-07-22,Marketing Ads Campaign,-480.00,7151.55
2026-08-01,Rent Payment,-2200.00,4951.55
2026-08-02,City Electricity Bill,-471.25,4480.30
2026-08-05,Staff Wages Payroll,-3900.00,580.30
2026-08-07,Dough & Flour Supplier,-903.60,-323.30
2026-08-10,Tomato Sauce Supplier,-377.40,-700.70
2026-08-12,Meat & Cheese Supplier,-804.90,-1505.60
2026-08-15,Card Sales Deposit,6930.00,5424.40
2026-08-20,Delivery Platform Fees,-299.75,5124.65
2026-08-28,Cash Sales Deposit,5670.00,10794.65
2026-09-01,Rent Payment,-2200.00,8594.65
2026-09-02,City Electricity Bill,-398.90,8195.75
2026-09-05,Staff Wages Payroll,-3750.00,4445.75
2026-09-07,Dough & Flour Supplier,-861.15,3584.60
2026-09-10,Tomato Sauce Supplier,-355.05,3229.55
2026-09-12,Meat & Cheese Supplier,-762.30,2467.25
2026-09-15,Card Sales Deposit,6490.00,8957.25
2026-09-20,Delivery Platform Fees,-280.60,8676.65
2026-09-28,Cash Sales Deposit,5310.00,13986.65
2026-09-18,New Signage Install,-640.00,13346.65
