Date,Description,Amount,Balance
2026-04-01,Monthly Salary Deposit,4200.00,6700.00
2026-04-03,Rent Payment,-1480.00,5220.00
2026-04-05,Whole Foods Market,-342.18,4877.82
2026-04-08,Shell Gas Station,-45.00,4832.82
2026-04-12,Netflix Subscription,-15.99,4816.83
2026-04-14,Electric Bill,-86.40,4730.43
2026-04-18,Starbucks,-6.95,4723.48
2026-04-22,Target,-67.32,4656.16
2026-05-01,Monthly Salary Deposit,4200.00,8856.16
2026-05-03,Rent Payment,-1480.00,7376.16
2026-05-05,Whole Foods Market,-356.40,7019.76
2026-05-08,Shell Gas Station,-52.30,6967.46
2026-05-12,Netflix Subscription,-15.99,6951.47
2026-05-14,Electric Bill,-92.10,6859.37
2026-05-18,Starbucks,-8.50,6850.87
2026-05-22,Target,-84.10,6766.77
2026-06-01,Monthly Salary Deposit,4200.00,10966.77
2026-06-03,Rent Payment,-1480.00,9486.77
2026-06-05,Whole Foods Market,-388.92,9097.85
2026-06-08,Shell Gas Station,-48.75,9049.10
2026-06-12,Netflix Subscription,-15.99,9033.11
2026-06-14,Electric Bill,-104.75,8928.36
2026-06-18,Starbucks,-5.75,8922.61
2026-06-22,Target,-72.55,8850.06
2026-06-15,Costco Bulk Groceries,-862.40,7987.66
2026-07-01,Monthly Salary Deposit,4200.00,12187.66
2026-07-03,Rent Payment,-1480.00,10707.66
2026-07-05,Whole Foods Market,-481.05,10226.61
2026-07-08,Shell Gas Station,-55.10,10171.51
2026-07-12,Netflix Subscription,-15.99,10155.52
2026-07-14,Electric Bill,-118.30,10037.22
2026-07-18,Starbucks,-9.99,10027.23
2026-07-22,Target,-91.40,9935.83
2026-08-01,Monthly Salary Deposit,4200.00,14135.83
2026-08-03,Rent Payment,-1480.00,12655.83
2026-08-05,Whole Foods Market,-365.77,12290.06
2026-08-08,Shell Gas Station,-44.20,12245.86
2026-08-12,Netflix Subscription,-15.99,12229.87
2026-08-14,Electric Bill,-111.05,12118.82
2026-08-18,Starbucks,-7.45,12111.37
2026-08-22,Target,-138.87,11972.50
2026-08-16,Best Buy New Laptop,-2199.00,9773.50
2026-09-01,Monthly Salary Deposit,4200.00,13973.50
2026-09-03,Rent Payment,-1480.00,12493.50
2026-09-05,Whole Foods Market,-372.64,12120.86
2026-09-08,Shell Gas Station,-50.05,12070.81
2026-09-12,Netflix Subscription,-15.99,12054.82
2026-09-14,Electric Bill,-96.20,11958.62
2026-09-18,Starbucks,-6.25,11952.37
2026-09-22,Target,-78.15,11874.22
